attribute_3a,value_3a,figure_3a,attribute_3b,value_3b,figure_3b,attribute_3c,value_3c,figure_3c
expected32,329.183628691983,3A,expected32,218.962328445931,3B,expected32,2320.7724581167,3C
expected33,241.203375527426,3A,expected33,164.481945790477,3B,expected33,1969.91464471404,3C
expected34,359.405232067511,3A,expected34,254.421233626161,3B,expected34,2602.03011265165,3C
expected35,382.264641350211,3A,expected35,257.507737518367,3B,expected35,3032.0908434431,3C
expected36,65.4055696202532,3A,expected36,42.098477506487,3B,expected36,0,3C
expected37,464.398071127185,3A,expected37,343.117078813268,3B,expected37,2620.69698282653,3C
expected38,493.873007836046,3A,expected38,356.862819270329,3B,expected38,2810.30589911244,3C
expected39,361.876552139843,3A,expected39,268.071185168975,3B,expected39,2385.43969591933,3C
expected40,539.214370102471,3A,expected40,414.653421702567,3B,expected40,3150.89079486372,3C
expected41,573.510259192284,3A,expected41,419.683777784725,3B,expected41,3671.66662727798,3C
expected42,98.12773960217,3A,expected42,68.6117172601369,3B,expected42,0,3C
expected43,715.587703435805,3A,expected43,558.230030950073,3B,expected43,2090.6140696392,3C
expected44,761.005424954792,3A,expected44,580.593491105762,3B,expected44,2241.87118586209,3C
expected45,557.613019891501,3A,expected45,436.135054866039,3B,expected45,1902.94178351977,3C
expected46,830.871609403255,3A,expected46,674.615187419889,3B,expected46,2513.56668504805,3C
expected47,883.717902350814,3A,expected47,682.799262200269,3B,expected47,2929.00627593089,3C
expected48,151.204339963834,3A,expected48,111.626973457967,3B,expected48,0,3C
expected49,1154.11452682339,3A,expected49,964.799012098665,3B,expected49,2277.69162596502,3C
expected50,1227.36515973478,3A,expected50,1003.4501828868,3B,expected50,2442.48390972113,3C
expected51,899.329716696805,3A,expected51,753.780066902179,3B,expected51,2073.22557901371,3C
expected52,1340.04677516576,3A,expected52,1165.94957326414,3B,expected52,2738.49194501339,3C
expected53,1425.27836045811,3A,expected53,1180.09425704192,3B,expected53,3191.10694028675,3C
expected54,243.865461121157,3A,expected54,192.926907806296,3B,expected54,0,3C
expected55,1286.77347799879,3A,expected55,1067.31234564042,3B,expected55,2761.76599180715,3C
expected56,1368.44385774563,3A,expected56,1110.07034107606,3B,expected56,2961.58133107505,3C
expected57,1002.70259192285,3A,expected57,833.871885453465,3B,expected57,2513.84508429179,3C
expected58,1494.07758890898,3A,expected58,1289.83587082252,3B,expected58,3320.49950764141,3C
expected59,1589.10606389391,3A,expected59,1305.4834776628,3B,expected59,3869.3080851846,3C
expected60,271.896419529837,3A,expected60,213.426079344734,3B,expected60,0,3C
expected61,815.219529837251,3A,expected61,665.511426517023,3B,expected61,2401.39554120057,3C
expected62,866.960795660036,3A,expected62,692.172726420108,3B,expected62,2575.13787353605,3C
expected63,635.249909584087,3A,expected63,519.952074280176,3B,expected63,2185.82472034032,3C
expected64,946.554502712477,3A,expected64,804.263638353081,3B,expected64,2887.2224279187,3C
expected65,1006.75862567812,3A,expected65,814.02053959421,3B,expected65,3364.41943700436,3C
expected66,172.256636528029,3A,expected66,133.079594835402,3B,expected66,0,3C
expected67,660.17552742616,3A,expected67,504.130865664176,3B,expected67,2001.46132030881,3C
expected68,702.076286919831,3A,expected68,524.327039109638,3B,expected68,2146.26818444409,3C
expected69,514.433755274262,3A,expected69,393.868352768312,3B,expected69,1821.79218528439,3C
expected70,766.532320675105,3A,expected70,609.236908744177,3B,expected70,2406.37742240429,3C
expected71,815.28641350211,3A,expected71,616.62784881358,3B,expected71,2804.10088755843,3C
expected72,139.495696202532,3A,expected72,100.808984900116,3B,expected72,0,3C
residuals1,-9.83326781749837,3A,residuals1,-9.07671174348619,3B,residuals1,-15.7272817662282,3C
residuals2,-7.35334337272178,3A,residuals2,-6.04035383155313,3B,residuals2,7.00645656814016,3C
residuals3,12.3994767851701,3A,residuals3,9.08832230857413,3B,residuals3,26.3845124874917,3C
residuals4,-8.17828936690795,3A,residuals4,-5.70786226278643,3B,residuals4,-11.7932535696221,3C
residuals5,-4.2001248444458,3A,residuals5,-4.40350251231071,3B,residuals5,-3.18450054363092,3C
residuals6,43.4020289159918,3A,residuals6,41.0320344903,3B,residuals6,NaN,3C
residuals7,-1.74139550863355,3A,residuals7,-1.08333374498222,3B,residuals7,-5.29759343373705,3C
residuals8,-10.7406228643826,3A,residuals8,-9.80527872746005,3B,residuals8,-7.3671877071654,3C
residuals9,2.58805699784882,3A,residuals9,1.06545760945959,3B,residuals9,17.7958735903435,3C
residuals10,-1.27378891714972,3A,residuals10,-1.66855535106592,3B,residuals10,-0.0772673850522916,3C
residuals11,-5.44866875654586,3A,residuals11,-4.13775228020642,3B,residuals11,-3.35147701395322,3C
residuals12,39.0724471530363,3A,residuals12,37.0140814760953,3B,residuals12,NaN,3C
residuals13,-4.33460333633589,3A,residuals13,-3.1018202340306,3B,residuals13,-1.15281932053737,3C
residuals14,-6.58292398511623,3A,residuals14,-4.97356813041378,3B,residuals14,-6.88185075661205,3C
residuals15,-3.32447429430197,3A,residuals15,-2.83133815023596,3B,residuals15,-0.682037648553201,3C
residuals16,-1.12171653352185,3A,residuals16,-0.707002392228887,3B,residuals16,5.45074038135323,3C
residuals17,0.0196803506544884,3A,residuals17,-0.385943361711065,3B,residuals17,2.49503628774261,3C
residuals18,33.1641222546972,3A,residuals18,26.568348337753,3B,residuals18,NaN,3C
residuals19,1.59876201644093,3A,residuals19,1.50031425243989,3B,residuals19,-1.62223059757495,3C
residuals20,4.42479998127231,3A,residuals20,4.83821091941277,3B,residuals20,9.8483337888635,3C
residuals21,-1.69252709682832,3A,residuals21,-2.25081517176589,3B,residuals21,-7.6751041210969,3C
residuals22,-0.341396809278149,3A,residuals22,-0.568184079925187,3B,residuals22,-5.40121013892121,3C
residuals23,-0.590097972331434,3A,residuals23,-0.880508377702096,3B,residuals23,3.9443977077246,3C
residuals24,-7.92759275845714,3A,residuals24,-6.36565928693772,3B,residuals24,NaN,3C
residuals25,2.02939249613597,3A,residuals25,1.59446021061446,3B,residuals25,-0.128057918088968,3C
residuals26,5.62940538980474,3A,residuals26,5.21407105250993,3B,residuals26,0.973045736348507,3C
residuals27,-4.16696514038917,3A,residuals27,-3.99942984171316,3B,residuals27,-13.6182394532601,3C
residuals28,0.336481659482895,3A,residuals28,0.5293571801129,3B,residuals28,8.75127097544494,3C
residuals29,-1.11174904490607,3A,residuals29,-1.27347221987336,3B,residuals29,2.12671645831514,3C
