id,inst_type,inst_id,US_region,PUI_RI,world_region,Other_inst_type
202_2021-2022,offer_institutions,3773,Midwest,RI,USA,US college or university
203_2021-2022,offer_institutions,3675,Southwest,RI,USA,US college or university
204_2021-2022,offer_institutions,2826,Midwest,RI,USA,US college or university
206_2021-2022,offer_institutions,2788,Pacific,RI,USA,US college or university
207_2021-2022,offer_institutions,4675,NA,NA,NA,NA
208_2021-2022,offer_institutions,3734,Southwest,PUI,USA,US college or university
209_2021-2022,offer_institutions,3910,Pacific,RI,USA,US college or university
210_2021-2022,offer_institutions,0,NA,NA,NA,NA
211_2021-2022,offer_institutions,1518,Northeast,RI,USA,US college or university
212_2021-2022,offer_institutions,4675,NA,NA,NA,NA
213_2021-2022,offer_institutions,4675,NA,NA,NA,NA
214_2021-2022,offer_institutions,2579,Southwest,RI,USA,US college or university
215_2021-2022,offer_institutions,4675,NA,NA,NA,NA
216_2021-2022,offer_institutions,0,NA,NA,NA,NA
217_2021-2022,offer_institutions,4675,NA,NA,NA,NA
218_2021-2022,offer_institutions,895,Northeast,RI,USA,US college or university
219_2021-2022,offer_institutions,4016,Northeast,RI,USA,US college or university
220_2021-2022,offer_institutions,1304,Southeast,RI,USA,US college or university
221_2021-2022,offer_institutions,4374,NA,RI,European,NA
222_2021-2022,offer_institutions,4675,NA,NA,NA,NA
223_2021-2022,offer_institutions,119,Southeast,RI,USA,US college or university
224_2021-2022,offer_institutions,4675,NA,NA,NA,NA
226_2021-2022,offer_institutions,4675,NA,NA,NA,NA
227_2021-2022,offer_institutions,4675,NA,NA,NA,NA
228_2021-2022,offer_institutions,1969,Southeast,RI,USA,US college or university
229_2021-2022,offer_institutions,4470,NA,RI,Canada,NA
230_2021-2022,offer_institutions,1025,Northeast,RI,USA,US college or university
231_2021-2022,offer_institutions,4675,NA,NA,NA,NA
232_2021-2022,offer_institutions,4675,NA,NA,NA,NA
233_2021-2022,offer_institutions,4675,NA,NA,NA,NA
234_2021-2022,offer_institutions,4675,NA,NA,NA,NA
235_2021-2022,offer_institutions,4675,NA,NA,NA,NA
236_2021-2022,offer_institutions,0,NA,NA,NA,NA
237_2021-2022,offer_institutions,4675,NA,NA,NA,NA
238_2021-2022,offer_institutions,4675,NA,NA,NA,NA
239_2021-2022,offer_institutions,157,Southeast,PUI,USA,US college or university
240_2021-2022,offer_institutions,4675,NA,NA,NA,NA
241_2021-2022,offer_institutions,4675,NA,NA,NA,NA
242_2021-2022,offer_institutions,1296,Southeast,RI,USA,US college or university
243_2021-2022,offer_institutions,0,NA,NA,NA,NA
244_2021-2022,offer_institutions,1049,Southeast,RI,USA,US college or university
245_2021-2022,offer_institutions,4675,NA,NA,NA,NA
246_2021-2022,offer_institutions,4675,NA,NA,NA,NA
247_2021-2022,offer_institutions,4675,NA,NA,NA,NA
248_2021-2022,offer_institutions,3951,Midwest,RI,USA,US college or university
249_2021-2022,offer_institutions,4675,NA,NA,NA,NA
250_2021-2022,offer_institutions,4675,NA,NA,NA,NA
251_2021-2022,offer_institutions,4051,Southeast,RI,USA,US college or university
252_2021-2022,offer_institutions,4675,NA,NA,NA,NA
253_2021-2022,offer_institutions,4675,NA,NA,NA,NA
254_2021-2022,offer_institutions,4675,NA,NA,NA,NA
255_2021-2022,offer_institutions,4675,NA,NA,NA,NA
256_2021-2022,offer_institutions,4419,NA,NA,USA,private research institute
257_2021-2022,offer_institutions,4675,NA,NA,NA,NA
259_2021-2022,offer_institutions,4675,NA,NA,NA,NA
260_2021-2022,offer_institutions,4675,NA,NA,NA,NA
261_2021-2022,offer_institutions,0,NA,NA,NA,NA
262_2021-2022,offer_institutions,2032,Midwest,RI,USA,US college or university
263_2021-2022,offer_institutions,4675,NA,NA,NA,NA
264_2021-2022,offer_institutions,4675,NA,NA,NA,NA
265_2021-2022,offer_institutions,4675,NA,NA,NA,NA
266_2021-2022,offer_institutions,4675,NA,NA,NA,NA
267_2021-2022,offer_institutions,4675,NA,NA,NA,NA
268_2021-2022,offer_institutions,3959,Midwest,PUI,USA,US college or university
269_2021-2022,offer_institutions,4675,NA,NA,NA,NA
270_2021-2022,offer_institutions,4675,NA,NA,NA,NA
271_2021-2022,offer_institutions,4535,NA,NA,USA,private research institute
272_2021-2022,offer_institutions,4675,NA,NA,NA,NA
273_2021-2022,offer_institutions,4675,NA,NA,NA,NA
274_2021-2022,offer_institutions,1117,Southeast,RI,USA,US college or university
275_2021-2022,offer_institutions,4675,NA,NA,NA,NA
276_2021-2022,offer_institutions,4675,NA,NA,NA,NA
277_2021-2022,offer_institutions,4675,NA,NA,NA,NA
278_2021-2022,offer_institutions,4675,NA,NA,NA,NA
279_2021-2022,offer_institutions,4675,NA,NA,NA,NA
280_2021-2022,offer_institutions,4675,NA,NA,NA,NA
281_2021-2022,offer_institutions,3517,Southeast,RI,USA,US college or university
